07/20/2010,Port Jefferson,Late - 11 mins
07/20/2010,Montauk,Late - 20 mins
07/20/2010,Ronk. (greenpt.),Partially Canceled
07/20/2010,Ronk. (greenpt.),Late - 8 mins
07/20/2010,Ronk. (greenpt.),Late - 8 mins
07/20/2010,Port Jefferson,Late - 7 mins
07/20/2010,Ronk. (greenpt.),Late - 15 mins
07/20/2010,Hunt. Hicks.,Late - 6 mins
07/20/2010,Ronk. (greenpt.),Late - 10 mins
07/20/2010,Port Jefferson,Late - 9 mins
07/20/2010,Ronk. (greenpt.),Late - 12 mins
07/20/2010,Babylon,Late - 7 mins
07/20/2010,Far Rockaway,Late - 6 mins
07/20/2010,Hunt. Hicks.,Late - 8 mins
07/20/2010,Babylon,Late - 7 mins
07/20/2010,West Hempstead,Late - 7 mins
07/20/2010,Ronk. (greenpt.),Late - 17 mins
07/20/2010,Port Jefferson,Late - 7 mins
07/20/2010,Ronk. (greenpt.),Late - 10 mins
07/20/2010,Ronk. (greenpt.),Late - 12 mins
07/20/2010,Babylon,Late - 6 mins
07/20/2010,Ronk. (greenpt.),Late - 9 mins
07/20/2010,Port Washington,Late - 6 mins
07/20/2010,Port Washington,Late - 9 mins
07/20/2010,Port Jefferson,Late - 10 mins
07/20/2010,Port Jefferson,Late - 13 mins
07/20/2010,Babylon,Late - 12 mins
07/20/2010,Hunt. Hicks.,Late - 18 mins
07/20/2010,Ronk. (greenpt.),Late - 6 mins
07/20/2010,Port Jefferson,Late - 10 mins
07/20/2010,Hunt. Hicks.,Late - 13 mins
07/20/2010,Hunt. Hicks.,Late - 7 mins
07/20/2010,Port Jefferson,Late - 9 mins
07/20/2010,Port Jefferson,Late - 14 mins
07/20/2010,Babylon,Late - 8 mins
07/21/2010,Port Jefferson,Partially Canceled
07/21/2010,Port Jefferson,Late - 63 mins
07/21/2010,Port Jefferson,Late - 9 mins
07/21/2010,Ronk. (greenpt.),Late - 9 mins
07/21/2010,Hunt. Hicks.,Late - 14 mins
07/21/2010,Hunt. Hicks.,Late - 7 mins
07/21/2010,Port Jefferson,Late - 7 mins
07/21/2010,Babylon,Late - 9 mins
07/21/2010,Babylon,Partially Canceled
07/21/2010,Montauk,Late - 7 mins
07/21/2010,Babylon,Late - 7 mins
07/21/2010,Hunt. Hicks.,Late - 6 mins
07/21/2010,Long Beach,Late - 11 mins
07/21/2010,Babylon,Late - 19 mins
07/21/2010,Ronk. (greenpt.),Late - 7 mins
07/21/2010,Port Jefferson,Late - 9 mins
07/21/2010,West Hempstead,Late - 6 mins
07/21/2010,Long Beach,Late - 7 mins
07/21/2010,Ronk. (greenpt.),Late - 8 mins
07/21/2010,Far Rockaway,Late - 7 mins
07/21/2010,Babylon,Late - 7 mins
07/21/2010,Babylon,Late - 7 mins
07/21/2010,Far Rockaway,Late - 6 mins
07/21/2010,Babylon,Late - 8 mins
07/21/2010,Port Washington,Late - 8 mins
07/21/2010,Ronk. (greenpt.),Late - 8 mins
07/21/2010,Hempstead,Late - 7 mins
07/21/2010,Oyster Bay,Late - 7 mins
07/21/2010,Port Washington,Late - 6 mins
07/21/2010,Port Washington,Late - 6 mins
07/21/2010,Port Washington,Late - 7 mins
07/21/2010,Ronk. (greenpt.),Late - 6 mins
